관리번호,시군구명,동명,리명,지번,도로명,구코드,동코드,리코드,교차로명,경도,위도
16-151,기장군,정관읍,모전리,678,모전로 29,26710,26710256,2671025627,정관삼환1지점,129.1652869,35.3395676
16-079,기장군,정관읍,모전리,681,모전로 41,26710,26710256,2671025627,동일스위트 3차 후문,129.1668279,35.33866462
16-152,기장군,정관읍,모전리,696,,26710,26710256,2671025627,정관삼환2지점,129.1683898,35.33640905
16-164,기장군,정관읍,예림리,1035-32,,26710,26710256,2671025630,(정관)Q지점,129.2149328,35.32213362
16-176,기장군,정관읍,용수리,1347,,26710,26710256,2671025628,신동아아파트(정관면 28블럭),129.1769803,35.326609
9-233,해운대구,재송동,,1200,,26350,26350104,,포스코아파트 앞,129.1225002,35.17910747
9-224,해운대구,재송동,,574-4,해운대로191번길 10,26350,26350104,,센텀시티3지점,129.123298,35.18015597
16-054,기장군,철마면,고촌리,684,,26710,26710330,2671033029,고촌택지 F지점,129.1719105,35.23940346
16-053,기장군,철마면,고촌리,684,,26710,26710330,2671033029,고촌택지 E지점,129.1709253,35.23940666
10-051,사하구,신평동,,643-1,하신번영로151번길 57,26380,26380104,,한솔탕,128.9556705,35.09646868
16-052,기장군,철마면,고촌리,683,,26710,26710330,2671033029,고촌택지 D지점,129.1690484,35.23950173
11-220,금정구,청룡동,,493,,26410,26410103,,남산청룡교,129.0874003,35.2755214
6-072,동래구,명륜동,,100-304,,26260,26260107,,교동초교,129.0884453,35.21520034
12-089,강서구,송정동,,1779,,26440,26440109,,녹산공단1지점,128.8232821,35.10047963
15-071,사상구,학장동,,793-8,,26530,26530107,,LG전자,128.9772821,35.13927487
15-042,사상구,모라동,,740-1,삼덕로99번길 20,26530,26530102,,자유아파트,128.9885677,35.18213356
15-011,사상구,학장동,,589,새벽로18번길 6,26530,26530107,,민창철강,128.9794316,35.14127008
12-270,강서구,화전동,,598-2,화전산단5로48번길 9,26440,26440110,,화전지구산업단지- 13구역,128.8782435,35.10398642
12-267,강서구,화전동,,649,,26440,26440110,,화전지구산업단지- 10구역,128.8782865,35.10607413
12-248,강서구,녹산동,,628,,26440,26440111,,화전지구산업단지- 3구역,128.8782253,35.11099778
14-076,수영구,망미동,,430-14,과정로42번길 19-5,26500,26500101,,포스코 더# APT 후문,129.1080428,35.17408676
12-235,강서구,성북동,,1499,신항로 96-72,26440,26440119,,신항만  '북컨' A지점(사거리),128.8182794,35.08455753
12-220,강서구,명지동,,3247,,26440,26440104,,명지주거단지 8지점,128.9056411,35.08667355
7-129,남구,감만동,,75-47,우암로 84-1,26290,26290111,,8부두철길건널목(철도신호등),129.0798203,35.11941095
2-062,서구,암남동,,123-47,,26140,26140124,,남항대교교각옆,129.02516,35.08035445
2-061,서구,암남동,,123-22,,26140,26140124,,남항대교공영주차장,129.02495,35.07896957
2-003,서구,토성동3가,,Feb-32,,26140,26140114,,초장동,129.0208246,35.09787323
16-147,기장군,정관읍,모전리,674,,26710,26710256,2671025627,정관신도시(#38),129.1614718,35.34242991
16-115,기장군,정관읍,모전리,07월 23일,,26710,26710256,2671025627,정관신도시(#1),129.1592028,35.34417476
2-002,서구,토성동5가,,35-14,충무대로 279-1,26140,26140118,,완월로타리,129.0228005,35.09657214
16-155,기장군,정관읍,매학리,731,,26710,26710256,2671025622,정관홈플러스,129.1763582,35.32202248
16-112,기장군,정관읍,매학리,731,,26710,26710256,2671025622,정관신도시5지점,129.1762753,35.32374358
15-066,사상구,감전동,,1005-1,,26530,26530105,,주감여중,128.9952172,35.1555774
15-152,사상구,주례동,,970,백양대로501번길 20,26530,26530106,,신화빌라,128.9967711,35.15410741
15-086,사상구,엄궁동,,725,엄궁북로 59,26530,26530108,,코오롱아파트112동,128.9783008,35.12826629
15-144,사상구,엄궁동,,726,,26530,26530108,,엄궁제일유치원 주변,128.9764635,35.12541629
9-066,해운대구,반송동,,394-10,반송로877번길 47-5,26350,26350101,,현대치과,129.1516821,35.23122818
9-107,해운대구,좌동,,1333,세실로 19,26350,26350107,,대우아파트(11),129.1789489,35.16528721
15-091,사상구,감전동,,174,장인로 3,26530,26530105,,신감전삼거리,128.9689034,35.14497547
15-097,사상구,모라동,,72-19,낙동대로1510번길 14,26530,26530102,,운수천사거리,128.9847658,35.19168481
15-110,사상구,모라동,,362-7,낙동대로1390번길 90,26530,26530102,,(주)현동,128.9815542,35.18207061
15-124,사상구,학장동,,730-4,감전천로 95,26530,26530107,,(주)금양,128.9755258,35.14271843
